,image,text
508,conversion-diagram,Does this image show a Feynman diagram(s)?
509,conversion-diagram,Does this image show something other than a Feynman diagram(s)?
510,ZDMDM,What is the content of this image?
511,ZDMDM,Does this image show a Feynman diagram(s)?
512,ZDMDM,Does this image show something other than a Feynman diagram(s)?
513,top,What is the content of this image?
514,top,Does this image show a Feynman diagram(s)?
515,top,Does this image show something other than a Feynman diagram(s)?
516,top-prod-sm,What is the content of this image?
517,top-prod-sm,Does this image show a Feynman diagram(s)?
518,top-prod-sm,Does this image show something other than a Feynman diagram(s)?
519,yetoHmNtoFS,What is the content of this image?
520,yetoHmNtoFS,Does this image show a Feynman diagram(s)?
521,yetoHmNtoFS,Does this image show something other than a Feynman diagram(s)?
522,sp2andhiggstoaa_paper,What is the content of this image?
523,sp2andhiggstoaa_paper,Does this image show a Feynman diagram(s)?
524,sp2andhiggstoaa_paper,Does this image show something other than a Feynman diagram(s)?
525,D_virtual2,What is the content of this image?
526,D_virtual2,Does this image show a Feynman diagram(s)?
527,D_virtual2,Does this image show something other than a Feynman diagram(s)?
528,1,What is the content of this image?
529,1,Does this image show a Feynman diagram(s)?
530,1,Does this image show something other than a Feynman diagram(s)?
531,toppair1,What is the content of this image?
532,toppair1,Does this image show a Feynman diagram(s)?
533,toppair1,Does this image show something other than a Feynman diagram(s)?
534,current_diagrams,What is the content of this image?
535,current_diagrams,Does this image show a Feynman diagram(s)?
536,current_diagrams,Does this image show something other than a Feynman diagram(s)?
537,softfunction_diagrams,What is the content of this image?
538,softfunction_diagrams,Does this image show a Feynman diagram(s)?
539,softfunction_diagrams,Does this image show something other than a Feynman diagram(s)?
540,loops,What is the content of this image?
541,loops,Does this image show a Feynman diagram(s)?
542,loops,Does this image show something other than a Feynman diagram(s)?
543,vacuumbasis5looptop,What is the content of this image?
544,vacuumbasis5looptop,Does this image show a Feynman diagram(s)?
545,vacuumbasis5looptop,Does this image show something other than a Feynman diagram(s)?
546,WinoPion,What is the content of this image?
547,WinoPion,Does this image show a Feynman diagram(s)?
548,WinoPion,Does this image show something other than a Feynman diagram(s)?
549,majorana_topologias,What is the content of this image?
550,majorana_topologias,Does this image show a Feynman diagram(s)?
551,majorana_topologias,Does this image show something other than a Feynman diagram(s)?
552,63166Fig1,What is the content of this image?
553,63166Fig1,Does this image show a Feynman diagram(s)?
554,63166Fig1,Does this image show something other than a Feynman diagram(s)?
555,rad_pen,What is the content of this image?
556,rad_pen,Does this image show a Feynman diagram(s)?
557,rad_pen,Does this image show something other than a Feynman diagram(s)?
558,Diaghdiphotons,What is the content of this image?
559,Diaghdiphotons,Does this image show a Feynman diagram(s)?
560,Diaghdiphotons,Does this image show something other than a Feynman diagram(s)?
561,Uexpansion,What is the content of this image?
562,Uexpansion,Does this image show a Feynman diagram(s)?
563,Uexpansion,Does this image show something other than a Feynman diagram(s)?
564,Mainz-ISI-PLB-Fig1,What is the content of this image?
565,Mainz-ISI-PLB-Fig1,Does this image show a Feynman diagram(s)?
566,Mainz-ISI-PLB-Fig1,Does this image show something other than a Feynman diagram(s)?
567,QSC-2l,What is the content of this image?
568,QSC-2l,Does this image show a Feynman diagram(s)?
569,QSC-2l,Does this image show something other than a Feynman diagram(s)?
570,softwebs,What is the content of this image?
571,softwebs,Does this image show a Feynman diagram(s)?
572,softwebs,Does this image show something other than a Feynman diagram(s)?
573,Rad-corr-1,What is the content of this image?
574,Rad-corr-1,Does this image show a Feynman diagram(s)?
575,Rad-corr-1,Does this image show something other than a Feynman diagram(s)?
576,T4Q,What is the content of this image?
577,T4Q,Does this image show a Feynman diagram(s)?
578,T4Q,Does this image show something other than a Feynman diagram(s)?
579,single-top-production,What is the content of this image?
580,single-top-production,Does this image show a Feynman diagram(s)?
581,single-top-production,Does this image show something other than a Feynman diagram(s)?
582,triangle,What is the content of this image?
583,triangle,Does this image show a Feynman diagram(s)?
584,triangle,Does this image show something other than a Feynman diagram(s)?
585,ups_em_decay,What is the content of this image?
586,ups_em_decay,Does this image show a Feynman diagram(s)?
587,ups_em_decay,Does this image show something other than a Feynman diagram(s)?
588,diagrams_C78_de,What is the content of this image?
589,diagrams_C78_de,Does this image show a Feynman diagram(s)?
590,diagrams_C78_de,Does this image show something other than a Feynman diagram(s)?
591,WZGraph,What is the content of this image?
592,WZGraph,Does this image show a Feynman diagram(s)?
593,WZGraph,Does this image show something other than a Feynman diagram(s)?
594,ZZVdiagrams,What is the content of this image?
595,ZZVdiagrams,Does this image show a Feynman diagram(s)?
596,ZZVdiagrams,Does this image show something other than a Feynman diagram(s)?
597,eett,What is the content of this image?
598,eett,Does this image show a Feynman diagram(s)?
599,eett,Does this image show something other than a Feynman diagram(s)?
600,74a,What is the content of this image?
601,74a,Does this image show a Feynman diagram(s)?
602,74a,Does this image show something other than a Feynman diagram(s)?
603,virtual,What is the content of this image?
604,virtual,Does this image show a Feynman diagram(s)?
605,virtual,Does this image show something other than a Feynman diagram(s)?
606,dim6,What is the content of this image?
607,dim6,Does this image show a Feynman diagram(s)?
608,dim6,Does this image show something other than a Feynman diagram(s)?
609,universe3,What is the content of this image?
610,universe3,Does this image show a Feynman diagram(s)?
611,universe3,Does this image show something other than a Feynman diagram(s)?
612,w_flavourchange,What is the content of this image?
613,w_flavourchange,Does this image show a Feynman diagram(s)?
614,w_flavourchange,Does this image show something other than a Feynman diagram(s)?
615,VanderDonckt_Muriel.fig2,What is the content of this image?
616,VanderDonckt_Muriel.fig2,Does this image show a Feynman diagram(s)?
617,VanderDonckt_Muriel.fig2,Does this image show something other than a Feynman diagram(s)?
618,LSZ,What is the content of this image?
619,LSZ,Does this image show a Feynman diagram(s)?
620,LSZ,Does this image show something other than a Feynman diagram(s)?
621,specific_portals,What is the content of this image?
622,specific_portals,Does this image show a Feynman diagram(s)?
623,specific_portals,Does this image show something other than a Feynman diagram(s)?
624,MassModel2,What is the content of this image?
625,MassModel2,Does this image show a Feynman diagram(s)?
626,MassModel2,Does this image show something other than a Feynman diagram(s)?
627,y,What is the content of this image?
628,y,Does this image show a Feynman diagram(s)?
629,y,Does this image show something other than a Feynman diagram(s)?
630,wwaa,What is the content of this image?
631,wwaa,Does this image show a Feynman diagram(s)?
632,wwaa,Does this image show something other than a Feynman diagram(s)?
633,SM_feynman_diagram_NEW,What is the content of this image?
634,SM_feynman_diagram_NEW,Does this image show a Feynman diagram(s)?
635,SM_feynman_diagram_NEW,Does this image show something other than a Feynman diagram(s)?
636,YMphi3diagrams,What is the content of this image?
637,YMphi3diagrams,Does this image show a Feynman diagram(s)?
638,YMphi3diagrams,Does this image show something other than a Feynman diagram(s)?
639,XXtobb1loop_feyndiag,What is the content of this image?
640,XXtobb1loop_feyndiag,Does this image show a Feynman diagram(s)?
641,XXtobb1loop_feyndiag,Does this image show something other than a Feynman diagram(s)?
642,diagram-1,What is the content of this image?
643,diagram-1,Does this image show a Feynman diagram(s)?
644,diagram-1,Does this image show something other than a Feynman diagram(s)?
645,radiative,What is the content of this image?
646,radiative,Does this image show a Feynman diagram(s)?
647,radiative,Does this image show something other than a Feynman diagram(s)?
648,feynman_ilc,What is the content of this image?
649,feynman_ilc,Does this image show a Feynman diagram(s)?
650,feynman_ilc,Does this image show something other than a Feynman diagram(s)?
651,matching,What is the content of this image?
652,matching,Does this image show a Feynman diagram(s)?
653,matching,Does this image show something other than a Feynman diagram(s)?
654,loopfs,What is the content of this image?
655,loopfs,Does this image show a Feynman diagram(s)?
656,loopfs,Does this image show something other than a Feynman diagram(s)?
657,topology-2,What is the content of this image?
658,topology-2,Does this image show a Feynman diagram(s)?
659,topology-2,Does this image show something other than a Feynman diagram(s)?
660,DiagTmodel1,What is the content of this image?
661,DiagTmodel1,Does this image show a Feynman diagram(s)?
662,DiagTmodel1,Does this image show something other than a Feynman diagram(s)?
663,weak,What is the content of this image?
664,weak,Does this image show a Feynman diagram(s)?
665,weak,Does this image show something other than a Feynman diagram(s)?
666,Z_hadronic_decay_2,What is the content of this image?
667,Z_hadronic_decay_2,Does this image show a Feynman diagram(s)?
668,Z_hadronic_decay_2,Does this image show something other than a Feynman diagram(s)?
669,TreeDiagrams,What is the content of this image?
670,TreeDiagrams,Does this image show a Feynman diagram(s)?
671,TreeDiagrams,Does this image show something other than a Feynman diagram(s)?
672,ZprimeFeynRules_fermions,What is the content of this image?
673,ZprimeFeynRules_fermions,Does this image show a Feynman diagram(s)?
674,ZprimeFeynRules_fermions,Does this image show something other than a Feynman diagram(s)?
675,SketchDiagrams,What is the content of this image?
676,SketchDiagrams,Does this image show a Feynman diagram(s)?
677,SketchDiagrams,Does this image show something other than a Feynman diagram(s)?
678,SL,What is the content of this image?
679,SL,Does this image show a Feynman diagram(s)?
680,SL,Does this image show something other than a Feynman diagram(s)?
681,zorro_with_2loop_HTL,What is the content of this image?
682,zorro_with_2loop_HTL,Does this image show a Feynman diagram(s)?
683,zorro_with_2loop_HTL,Does this image show something other than a Feynman diagram(s)?
684,Typetwoseesaw,What is the content of this image?
685,Typetwoseesaw,Does this image show a Feynman diagram(s)?
686,Typetwoseesaw,Does this image show something other than a Feynman diagram(s)?
687,FeynmanGraphsETHZ,What is the content of this image?
688,FeynmanGraphsETHZ,Does this image show a Feynman diagram(s)?
689,FeynmanGraphsETHZ,Does this image show something other than a Feynman diagram(s)?
690,feynqg1,What is the content of this image?
691,feynqg1,Does this image show a Feynman diagram(s)?
692,feynqg1,Does this image show something other than a Feynman diagram(s)?
693,SingleTop_feynman,What is the content of this image?
694,SingleTop_feynman,Does this image show a Feynman diagram(s)?
695,SingleTop_feynman,Does this image show something other than a Feynman diagram(s)?
696,zasas,What is the content of this image?
697,zasas,Does this image show a Feynman diagram(s)?
698,zasas,Does this image show something other than a Feynman diagram(s)?
699,DiagramMuon,What is the content of this image?
700,DiagramMuon,Does this image show a Feynman diagram(s)?
701,DiagramMuon,Does this image show something other than a Feynman diagram(s)?
702,dias_c3,What is the content of this image?
703,dias_c3,Does this image show a Feynman diagram(s)?
704,dias_c3,Does this image show something other than a Feynman diagram(s)?
705,ZnnBG,What is the content of this image?
706,ZnnBG,Does this image show a Feynman diagram(s)?
707,ZnnBG,Does this image show something other than a Feynman diagram(s)?
708,Xg,What is the content of this image?
709,Xg,Does this image show a Feynman diagram(s)?
710,Xg,Does this image show something other than a Feynman diagram(s)?
711,uv_model,What is the content of this image?
712,uv_model,Does this image show a Feynman diagram(s)?
713,uv_model,Does this image show something other than a Feynman diagram(s)?
714,timeintneutral_diagram,What is the content of this image?
715,timeintneutral_diagram,Does this image show a Feynman diagram(s)?
716,timeintneutral_diagram,Does this image show something other than a Feynman diagram(s)?
717,Macro2micro_figs_v2,What is the content of this image?
718,Macro2micro_figs_v2,Does this image show a Feynman diagram(s)?
719,Macro2micro_figs_v2,Does this image show something other than a Feynman diagram(s)?
720,syk24ladders,What is the content of this image?
721,syk24ladders,Does this image show a Feynman diagram(s)?
722,syk24ladders,Does this image show something other than a Feynman diagram(s)?
723,wfr,What is the content of this image?
724,wfr,Does this image show a Feynman diagram(s)?
725,wfr,Does this image show something other than a Feynman diagram(s)?
726,radcorr,What is the content of this image?
727,radcorr,Does this image show a Feynman diagram(s)?
728,radcorr,Does this image show something other than a Feynman diagram(s)?
729,Contrac,What is the content of this image?
730,Contrac,Does this image show a Feynman diagram(s)?
731,Contrac,Does this image show something other than a Feynman diagram(s)?
732,zp70v3fig4,What is the content of this image?
733,zp70v3fig4,Does this image show a Feynman diagram(s)?
734,zp70v3fig4,Does this image show something other than a Feynman diagram(s)?
735,twodiagram_fig5,What is the content of this image?
736,twodiagram_fig5,Does this image show a Feynman diagram(s)?
737,twodiagram_fig5,Does this image show something other than a Feynman diagram(s)?
738,ustch,What is the content of this image?
739,ustch,Does this image show a Feynman diagram(s)?
740,ustch,Does this image show something other than a Feynman diagram(s)?
741,many-graphs,What is the content of this image?
742,many-graphs,Does this image show a Feynman diagram(s)?
743,many-graphs,Does this image show something other than a Feynman diagram(s)?
744,feynman2,What is the content of this image?
745,feynman2,Does this image show a Feynman diagram(s)?
746,feynman2,Does this image show something other than a Feynman diagram(s)?
747,Feynman_diagrams_DD,What is the content of this image?
748,Feynman_diagrams_DD,Does this image show a Feynman diagram(s)?
749,Feynman_diagrams_DD,Does this image show something other than a Feynman diagram(s)?
750,diagrams_real,What is the content of this image?
751,diagrams_real,Does this image show a Feynman diagram(s)?
752,diagrams_real,Does this image show something other than a Feynman diagram(s)?
753,zzdiagram,What is the content of this image?
754,zzdiagram,Does this image show a Feynman diagram(s)?
755,zzdiagram,Does this image show something other than a Feynman diagram(s)?
756,MesonBdecay,What is the content of this image?
757,MesonBdecay,Does this image show a Feynman diagram(s)?
758,MesonBdecay,Does this image show something other than a Feynman diagram(s)?
759,SingleCusto_graph,What is the content of this image?
760,SingleCusto_graph,Does this image show a Feynman diagram(s)?
761,SingleCusto_graph,Does this image show something other than a Feynman diagram(s)?
762,wwbg,What is the content of this image?
763,wwbg,Does this image show a Feynman diagram(s)?
764,wwbg,Does this image show something other than a Feynman diagram(s)?
765,twoloopdiagrams,What is the content of this image?
766,twoloopdiagrams,Does this image show a Feynman diagram(s)?
767,twoloopdiagrams,Does this image show something other than a Feynman diagram(s)?
768,feynmanfigure,What is the content of this image?
769,feynmanfigure,Does this image show a Feynman diagram(s)?
770,feynmanfigure,Does this image show something other than a Feynman diagram(s)?
771,strong1,What is the content of this image?
772,strong1,Does this image show a Feynman diagram(s)?
773,strong1,Does this image show something other than a Feynman diagram(s)?
774,Susc,What is the content of this image?
775,Susc,Does this image show a Feynman diagram(s)?
776,Susc,Does this image show something other than a Feynman diagram(s)?
777,d1,What is the content of this image?
778,d1,Does this image show a Feynman diagram(s)?
779,d1,Does this image show something other than a Feynman diagram(s)?
780,zzz-2loop,What is the content of this image?
781,zzz-2loop,Does this image show a Feynman diagram(s)?
782,zzz-2loop,Does this image show something other than a Feynman diagram(s)?
783,fig_1,What is the content of this image?
784,fig_1,Does this image show a Feynman diagram(s)?
785,fig_1,Does this image show something other than a Feynman diagram(s)?
786,1loopexpand,What is the content of this image?
787,1loopexpand,Does this image show a Feynman diagram(s)?
788,1loopexpand,Does this image show something other than a Feynman diagram(s)?
789,Wbbd,What is the content of this image?
790,Wbbd,Does this image show a Feynman diagram(s)?
791,Wbbd,Does this image show something other than a Feynman diagram(s)?
792,Feynmandiags,What is the content of this image?
793,Feynmandiags,Does this image show a Feynman diagram(s)?
794,Feynmandiags,Does this image show something other than a Feynman diagram(s)?
795,mesonmix,What is the content of this image?
796,mesonmix,Does this image show a Feynman diagram(s)?
797,mesonmix,Does this image show something other than a Feynman diagram(s)?
798,XXff,What is the content of this image?
799,XXff,Does this image show a Feynman diagram(s)?
800,XXff,Does this image show something other than a Feynman diagram(s)?
801,Diagram-3,What is the content of this image?
802,Diagram-3,Does this image show a Feynman diagram(s)?
803,Diagram-3,Does this image show something other than a Feynman diagram(s)?
804,Diagramme_Tensorstrom,What is the content of this image?
805,Diagramme_Tensorstrom,Does this image show a Feynman diagram(s)?
806,Diagramme_Tensorstrom,Does this image show something other than a Feynman diagram(s)?
807,LP-Fig3,What is the content of this image?
808,LP-Fig3,Does this image show a Feynman diagram(s)?
809,LP-Fig3,Does this image show something other than a Feynman diagram(s)?
810,zp70v3fig2,What is the content of this image?
811,zp70v3fig2,Does this image show a Feynman diagram(s)?
812,zp70v3fig2,Does this image show something other than a Feynman diagram(s)?
813,WMDMGDiagrams,What is the content of this image?
814,WMDMGDiagrams,Does this image show a Feynman diagram(s)?
815,WMDMGDiagrams,Does this image show something other than a Feynman diagram(s)?
816,sixVs,What is the content of this image?
817,sixVs,Does this image show a Feynman diagram(s)?
818,sixVs,Does this image show something other than a Feynman diagram(s)?
819,super-diags,What is the content of this image?
820,super-diags,Does this image show a Feynman diagram(s)?
821,super-diags,Does this image show something other than a Feynman diagram(s)?
822,SUSYEW,What is the content of this image?
823,SUSYEW,Does this image show a Feynman diagram(s)?
824,SUSYEW,Does this image show something other than a Feynman diagram(s)?
825,Y4630,What is the content of this image?
826,Y4630,Does this image show a Feynman diagram(s)?
827,Y4630,Does this image show something other than a Feynman diagram(s)?
828,ZZ1_and_2,What is the content of this image?
829,ZZ1_and_2,Does this image show a Feynman diagram(s)?
830,ZZ1_and_2,Does this image show something other than a Feynman diagram(s)?
831,WW-feynman,What is the content of this image?
832,WW-feynman,Does this image show a Feynman diagram(s)?
833,WW-feynman,Does this image show something other than a Feynman diagram(s)?
834,1loop_umdm,What is the content of this image?
835,1loop_umdm,Does this image show a Feynman diagram(s)?
836,1loop_umdm,Does this image show something other than a Feynman diagram(s)?
837,x1,What is the content of this image?
838,x1,Does this image show a Feynman diagram(s)?
839,x1,Does this image show something other than a Feynman diagram(s)?
840,1a,What is the content of this image?
841,1a,Does this image show a Feynman diagram(s)?
842,1a,Does this image show something other than a Feynman diagram(s)?
843,sloops,What is the content of this image?
844,sloops,Does this image show a Feynman diagram(s)?
845,sloops,Does this image show something other than a Feynman diagram(s)?
846,Zhdiagrams,What is the content of this image?
847,Zhdiagrams,Does this image show a Feynman diagram(s)?
848,Zhdiagrams,Does this image show something other than a Feynman diagram(s)?
849,1loop_d_feynman_diagram,What is the content of this image?
850,1loop_d_feynman_diagram,Does this image show a Feynman diagram(s)?
851,1loop_d_feynman_diagram,Does this image show something other than a Feynman diagram(s)?
852,LR-gauge-boxes,What is the content of this image?
853,LR-gauge-boxes,Does this image show a Feynman diagram(s)?
854,LR-gauge-boxes,Does this image show something other than a Feynman diagram(s)?
855,sub2ph2,What is the content of this image?
856,sub2ph2,Does this image show a Feynman diagram(s)?
857,sub2ph2,Does this image show something other than a Feynman diagram(s)?
858,singles,What is the content of this image?
859,singles,Does this image show a Feynman diagram(s)?
860,singles,Does this image show something other than a Feynman diagram(s)?
861,LQ_pair_production,What is the content of this image?
862,LQ_pair_production,Does this image show a Feynman diagram(s)?
863,LQ_pair_production,Does this image show something other than a Feynman diagram(s)?
864,top_pingos,What is the content of this image?
865,top_pingos,Does this image show a Feynman diagram(s)?
866,top_pingos,Does this image show something other than a Feynman diagram(s)?
867,Ward_qqgg_inf_c,What is the content of this image?
868,Ward_qqgg_inf_c,Does this image show a Feynman diagram(s)?
869,Ward_qqgg_inf_c,Does this image show something other than a Feynman diagram(s)?
870,stau2stau1h,What is the content of this image?
871,stau2stau1h,Does this image show a Feynman diagram(s)?
872,stau2stau1h,Does this image show something other than a Feynman diagram(s)?
873,w2j,What is the content of this image?
874,w2j,Does this image show a Feynman diagram(s)?
875,w2j,Does this image show something other than a Feynman diagram(s)?
876,zy1_decayed,What is the content of this image?
877,zy1_decayed,Does this image show a Feynman diagram(s)?
878,zy1_decayed,Does this image show something other than a Feynman diagram(s)?
879,diagrams_graviton,What is the content of this image?
880,diagrams_graviton,Does this image show a Feynman diagram(s)?
881,diagrams_graviton,Does this image show something other than a Feynman diagram(s)?
882,Zhhdiagrams,What is the content of this image?
883,Zhhdiagrams,Does this image show a Feynman diagram(s)?
884,Zhhdiagrams,Does this image show something other than a Feynman diagram(s)?
885,tbH-prod,What is the content of this image?
886,tbH-prod,Does this image show a Feynman diagram(s)?
887,tbH-prod,Does this image show something other than a Feynman diagram(s)?
888,cp_vert_loop_5d,What is the content of this image?
889,cp_vert_loop_5d,Does this image show a Feynman diagram(s)?
890,cp_vert_loop_5d,Does this image show something other than a Feynman diagram(s)?
891,lsm03,What is the content of this image?
892,lsm03,Does this image show a Feynman diagram(s)?
893,lsm03,Does this image show something other than a Feynman diagram(s)?
